,Emoji,Emoji Sentiment,PA sentiment,PA polarity,PA subjectivity
61,,,positive,0.04545454545454545,0.18484848484848485
62,,,neutral,0.0,0.8
63,,,neutral,0.0,0.0
64,,,neutral,0.0,0.0
65,,,positive,0.195,0.41500000000000004
66,,,positive,0.5,0.5
67,,,positive,0.2318181818181818,0.478030303030303
68,,,positive,0.06666666666666667,0.5133333333333334
69,,,neutral,0.0,0.0
70,,,positive,0.35,0.43125
71,,,neutral,0.0,0.0
72,,,positive,0.3,0.4
73,,,neutral,0.0,0.0
74,,,positive,0.14166666666666666,0.5562499999999999
75,,,negative,-0.2,0.3
76,,,positive,0.16666666666666666,0.46666666666666673
77,,,negative,-0.6999999999999998,0.6666666666666666
78,,,positive,0.18333333333333335,0.35000000000000003
79,,,positive,0.125,0.6875
80,,,neutral,0.0,0.8
81,,,negative,-0.03125,0.36041666666666666
82,,,neutral,0.0,0.0
83,,,positive,0.022222222222222223,0.044444444444444446
84,,,positive,0.5,0.5
85,,,positive,0.12222222222222223,0.2555555555555556
86,,,neutral,0.0,0.275
87,,,neutral,0.0,0.0
88,,,neutral,0.0,0.0
89,,,positive,0.2816666666666666,0.4216666666666667
90,,,neutral,0.0,0.0
91,,,negative,-0.6,1.0
92,,,positive,0.05,0.2
93,,,positive,0.2,0.3125
94,,,neutral,0.0,0.0
95,,,positive,0.2,0.75
96,,,negative,-0.2,0.3
97,,,neutral,0.0,0.0
98,,,neutral,0.0,0.0
99,,,positive,0.13229166666666667,0.43125
100,,,positive,0.5,0.5
101,,,negative,-0.2,0.3
102,,,neutral,0.0,0.5
103,,,neutral,0.0,0.3
104,,,positive,0.21212121212121213,0.35984848484848486
105,,,positive,0.16,0.4
106,,,positive,0.25,0.47777777777777775
107,,,positive,1.0,1.0
108,,,positive,0.3,0.45
109,,,positive,0.12222222222222223,0.3166666666666667
110,,,neutral,0.0,0.65
111,,,neutral,0.0,0.0
112,,,neutral,0.0,0.0
113,,,neutral,0.0,0.0
114,,,positive,0.5,0.5
115,,,positive,0.08047619047619048,0.4428571428571429
116,,,positive,0.5,0.5
117,,,negative,-0.05681818181818182,0.42727272727272725
118,,,negative,-0.38,0.7233333333333333
119,,,neutral,0.0,0.0
120,,,positive,0.030833333333333334,0.4997222222222222
121,,,positive,0.3766233766233766,0.5792207792207792
122,,,negative,-0.0625,0.2375
123,,,positive,0.3666666666666667,0.7000000000000001
124,,,positive,0.13333333333333333,0.6145833333333334
125,,,positive,0.35,0.55
126,,,positive,0.12222222222222223,0.6083333333333334
127,,,positive,0.0625,0.5
128,,,neutral,0.0,0.0
129,,,neutral,0.0,0.0
130,,,negative,-0.16477272727272727,0.8545454545454545
131,,,positive,0.06666666666666667,0.3333333333333333
132,,,positive,0.25,0.5
133,,,positive,0.06666666666666667,0.5083333333333333
134,,,positive,0.05,0.2
135,,,positive,0.5,0.5
136,,,positive,0.55,0.7
137,,,neutral,0.0,0.0
138,,,positive,0.6,1.0
139,,,positive,0.03282312925170068,0.28962585034013605
140,,,neutral,0.0,0.0
141,,,neutral,0.0,0.0
142,,,positive,0.1,0.45
143,,,neutral,0.0,0.0
144,,,positive,0.2142857142857143,0.5845238095238094
145,,,positive,0.3333333333333333,0.3333333333333333
146,,,positive,0.2,0.44000000000000006
147,,,positive,0.3333333333333333,0.625
148,,,positive,0.2,0.2
149,,,negative,-0.2,0.3
150,,,positive,0.25,0.25
151,,,positive,0.23333333333333334,0.5916666666666667
152,,,positive,0.4,0.8
153,,,negative,-0.10000000000000002,0.65
154,,,negative,-0.0022727272727272783,0.2174242424242424
155,,,neutral,0.0,0.0
156,,,positive,0.4121212121212121,0.28484848484848485
157,,,positive,0.2333333333333333,0.26666666666666666
158,,,neutral,0.0,0.0
159,,,neutral,0.0,0.0
160,,,positive,0.16666666666666666,0.3333333333333333
161,,,positive,0.0625,0.5
162,,,neutral,0.0,0.0
163,,,neutral,0.0,0.3333333333333333
164,,,negative,-0.2,0.3
165,,,positive,0.5,0.5
166,,,positive,0.5,0.5
167,,,negative,-0.1,0.7
168,,,positive,0.3055555555555556,0.5000000000000001
169,,,neutral,0.0,0.6
170,,,positive,0.13333333333333333,0.2333333333333333
171,,,positive,0.4,0.375
172,,,positive,0.125,0.3
173,,,positive,0.45,0.65
174,,,neutral,0.0,0.0
175,,,positive,0.225,0.30833333333333335
176,,,positive,0.5,0.5
177,,,positive,0.3181818181818182,0.4772727272727273
178,,,positive,0.25,0.75
179,,,positive,0.65,0.625
180,,,positive,0.3833333333333333,0.59375
181,,,positive,0.3666666666666667,0.7000000000000001
182,,,positive,0.03333333333333334,0.52
183,,,positive,0.5,0.5666666666666668
184,,,neutral,0.0,0.0
185,,,neutral,0.0,0.25
186,,,positive,0.175,0.525
187,,,neutral,0.0,0.0
188,,,neutral,0.0,0.0
189,,,neutral,0.0,0.0
190,,,positive,0.23,0.23
191,,,negative,-0.0625,0.3125
192,,,negative,-0.2,0.3
193,,,neutral,0.0,0.0
194,,,positive,0.33999999999999997,0.52
195,,,positive,0.19999999999999998,0.4833333333333334
196,,,positive,0.05833333333333333,0.2916666666666667
197,,,positive,0.35,0.65
198,,,positive,0.2057142857142857,0.5122222222222222
199,,,positive,0.4611111111111111,0.6333333333333333
200,,,positive,0.12333333333333334,0.2066666666666667
201,,,positive,0.07708333333333332,0.48541666666666666
202,,,neutral,0.0,0.0
203,,,positive,0.027083333333333327,0.34375
204,,,neutral,0.0,0.0
205,,,positive,0.35,0.55
206,,,neutral,0.0,0.0
207,,,positive,0.4375,0.6875
208,,,negative,-0.5,1.0
209,,,neutral,0.0,0.0
210,,,neutral,0.0,0.8
211,,,positive,0.005833333333333334,0.5025000000000001
212,,,positive,0.5,0.5
213,,,neutral,0.0,0.0
214,,,positive,0.2888888888888889,0.5666666666666668
215,,,positive,0.15,0.35000000000000003
216,,,neutral,0.0,0.0
217,,,positive,0.21666666666666667,0.55
218,,,neutral,0.0,0.0
219,,,positive,0.10000000000000002,0.26666666666666666
220,,,neutral,0.0,0.0
221,,,positive,0.3666666666666667,0.7000000000000001
222,,,positive,0.20714285714285713,0.4214285714285715
223,,,positive,0.2866666666666667,0.6133333333333333
224,,,positive,0.18888888888888888,0.7000000000000001
225,,,positive,0.24675324675324675,0.512987012987013
226,,,positive,0.31666666666666665,0.45000000000000007
227,,,positive,0.75,0.625
228,,,negative,-0.024999999999999994,0.18125000000000002
229,,,positive,0.3055555555555555,0.42777777777777776
230,,,positive,0.25,0.25
231,,,neutral,0.0,0.5625
232,,,positive,0.21666666666666667,0.30000000000000004
233,,,positive,0.15,0.35
234,,,positive,0.75,0.9
235,,,positive,0.04813988095238095,0.3699404761904762
236,,,neutral,0.0,0.0
237,,,positive,0.19166666666666668,0.4208333333333334
238,,,positive,1.0,0.75
239,,,neutral,0.0,0.125
240,,,positive,0.7,0.9
241,,,positive,0.15555555555555556,0.26666666666666666
242,,,positive,0.125,0.125
243,,,neutral,0.0,0.0
244,,,positive,0.35,0.55
245,,,neutral,0.0,0.0
246,,,positive,0.05,0.7
247,,,positive,0.037500000000000006,0.2375
248,,,neutral,0.0,0.0
249,,,neutral,0.0,0.0
250,,,positive,0.15000000000000002,0.29166666666666663
251,,,neutral,0.0,0.06666666666666667
252,,,positive,0.375,0.9444444444444444
253,,,neutral,0.0,0.0
254,,,positive,1.0,0.65
255,,,neutral,0.0,0.1
256,,,neutral,0.0,0.5
257,,,neutral,0.0,0.0
258,,,positive,0.06818181818181818,0.25
259,,,positive,0.20555555555555557,0.6777777777777777
260,,,positive,0.03333333333333333,0.06666666666666667
261,,,positive,0.08333333333333333,0.3666666666666667
262,,,positive,0.35714285714285715,0.5714285714285714
263,,,positive,0.5,0.5
264,,,positive,0.5,0.5
265,,,neutral,0.0,0.0
266,,,negative,-0.10833333333333335,0.65
267,,,neutral,0.0,0.25
268,,,positive,0.3833333333333333,0.5444444444444444
269,,,neutral,0.0,0.0
270,,,neutral,0.0,0.2833333333333333
271,,,positive,0.5,0.5
272,,,positive,0.15555555555555556,0.4083333333333334
273,,,negative,-0.05,0.2
274,,,positive,0.09821428571428571,0.3363095238095238
275,,,negative,-0.060000000000000005,0.37875
276,,,positive,0.25,0.25
277,,,positive,0.35,0.6833333333333333
278,,,positive,0.09999999999999999,0.3
279,,,neutral,0.0,0.0
280,,,neutral,0.0,0.0
281,,,positive,0.15,0.3854166666666667
282,,,positive,0.75,0.95
283,,,negative,-0.16666666666666666,0.3666666666666667
284,,,positive,0.03333333333333333,0.06666666666666667
285,,,positive,0.6041666666666667,0.825
286,,,negative,-0.3125,0.6875
287,,,negative,-0.0035714285714285934,0.3839285714285714
288,,,positive,0.06818181818181818,0.7272727272727273
289,,,neutral,0.0,0.0
290,,,neutral,0.0,0.0
291,,,neutral,0.0,0.0
292,,,negative,-0.08181818181818182,0.4772727272727273
293,,,neutral,0.0,0.625
294,,,negative,-0.3,0.47500000000000003
295,,,negative,-0.07142857142857142,0.14285714285714285
296,,,neutral,0.0,0.375
297,,,positive,1.0,0.75
298,,,positive,0.25,0.3333333333333333
299,,,neutral,0.0,0.0
300,,,negative,-0.06666666666666667,0.25555555555555554
301,,,positive,0.25,0.25
302,,,positive,0.31325757575757573,0.47613636363636364
303,,,positive,0.16818181818181818,0.32727272727272727
304,,,negative,-0.1,0.4
305,,,neutral,0.0,0.0
306,,,positive,0.13636363636363635,0.5
307,,,positive,0.18888888888888888,0.4000000000000001
308,,,neutral,0.0,0.0
309,,,positive,0.5033333333333333,0.5866666666666667
310,,,neutral,0.0,0.0
311,,,positive,0.125,0.8666666666666667
312,,,positive,0.15,0.35
313,,,negative,-0.1,1.0
314,,,positive,0.27499999999999997,0.65
315,,,neutral,0.0,0.0
316,,,positive,0.2,0.41875
317,,,neutral,0.0,0.0
318,,,neutral,0.0,0.0
319,,,positive,5.551115123125783e-17,0.6333333333333333
320,,,positive,0.2,0.3625
321,,,positive,0.5,0.5
322,,,positive,0.13636363636363635,0.5
323,,,neutral,0.0,0.0
324,,,neutral,0.0,0.0
325,,,positive,0.3888888888888889,0.4833333333333334
326,,,neutral,0.0,0.0
327,,,positive,0.033333333333333326,0.6
328,,,positive,0.25,0.4
329,,,negative,-0.2,0.3
330,,,neutral,0.0,0.0
331,,,neutral,0.0,0.0
332,,,neutral,0.0,0.0
333,,,negative,-0.05681818181818182,0.3522727272727273
334,,,neutral,0.0,0.0
335,,,positive,0.1645021645021645,0.6086580086580087
336,,,positive,0.4333333333333333,0.7333333333333333
337,,,neutral,0.0,0.0
338,,,positive,0.5,0.5
339,,,positive,0.21875,0.275
340,,,neutral,0.0,0.0
341,,,negative,-0.125,0.375
342,,,positive,0.25,0.25
343,,,positive,0.4666666666666666,0.4222222222222223
344,,,positive,0.08733766233766234,0.41850649350649355
345,,,positive,0.42500000000000004,0.65
346,,,positive,0.23434343434343438,0.5848484848484848
347,,,positive,0.3,0.7833333333333333
348,,,positive,0.5,0.5
349,,,neutral,0.0,0.0
350,,,positive,0.23333333333333334,0.5166666666666667
351,,,neutral,0.0,0.0
352,,,negative,-6.938893903907228e-18,0.325
353,,,negative,-0.2,0.3
354,,,positive,0.0625,0.20833333333333331
355,,,neutral,0.0,0.5
356,,,neutral,0.0,0.0
357,,,positive,0.5,0.5
358,,,positive,0.3,0.7833333333333333
359,,,negative,-0.3,0.6
360,,,negative,-0.125,0.375
361,,,positive,0.25,0.365
362,,,positive,0.20416666666666666,0.3708333333333333
363,,,positive,0.11212121212121212,0.47373737373737373
364,,,negative,-0.2,0.3
365,,,negative,-0.2,0.3
366,,,negative,-0.2,0.3
367,,,positive,0.625,0.5
368,,,neutral,0.0,1.0
369,,,negative,-0.08,0.48
370,,,positive,0.2222222222222222,0.3194444444444444
371,,,positive,0.4333333333333333,0.7333333333333333
372,,,neutral,0.0,0.0
373,,,positive,0.8,1.0
374,,,neutral,0.0,0.0
375,,,positive,0.23333333333333334,0.55
376,,,positive,0.35,0.30000000000000004
377,,,neutral,0.0,0.0
378,,,positive,0.46590909090909094,0.45
379,,,positive,0.5,0.5
380,,,positive,0.16,0.23333333333333334
381,,,neutral,0.0,0.0
382,,,neutral,0.0,0.0
383,,,positive,0.5,0.75
384,,,positive,0.5,0.75
385,,,positive,0.06818181818181818,0.22727272727272727
386,,,neutral,0.0,0.0
387,,,neutral,0.0,1.0
388,,,negative,-0.15555555555555559,0.2888888888888889
389,,,neutral,0.0,0.8
390,,,positive,0.06666666666666667,0.13333333333333333
391,,,positive,0.06818181818181818,0.2772727272727273
392,,,neutral,0.0,0.0
393,,,positive,0.16727272727272727,0.2309090909090909
394,,,positive,0.16761363636363635,0.3004807692307692
395,,,positive,0.0952020202020202,0.4358585858585859
396,,,negative,-0.017857142857142863,0.375
397,,,positive,0.04545454545454545,0.3181818181818182
398,,,neutral,0.0,0.0
399,,,neutral,0.0,0.0
400,,,neutral,0.0,0.0
401,,,negative,-0.1,0.15
402,,,positive,0.4,0.4
403,,,negative,-0.02,0.36
404,,,positive,0.5,0.5
405,,,neutral,0.0,0.0
406,,,positive,0.2748106060606061,0.43617424242424246
407,,,positive,0.115625,0.553125
408,,,neutral,0.0,0.0
409,,,neutral,0.0,0.1
410,,,neutral,0.0,0.0
411,,,neutral,0.0,0.0
412,,,positive,0.6,0.9
413,,,positive,0.6,0.9
414,,,neutral,0.0,0.03125
415,,,positive,0.18333333333333335,0.17777777777777778
416,,,neutral,0.0,0.0
417,,,positive,0.13636363636363635,0.45454545454545453
418,,,neutral,0.0,0.55
419,,,positive,0.175,0.275
420,,,positive,0.40653409090909093,0.6772727272727272
421,,,neutral,0.0,0.0
422,,,neutral,0.0,0.25
423,,,positive,0.39166666666666666,0.6375000000000001
424,,,positive,0.175,0.45
425,,,positive,0.06666666666666667,0.16666666666666666
426,,,positive,0.5,0.75
427,,,positive,0.5,0.8888888888888888
428,,,positive,0.3666666666666667,0.6666666666666666
429,,,negative,-0.35000000000000003,0.6033333333333334
430,,,positive,0.3666666666666667,0.7000000000000001
431,,,neutral,0.0,0.0
432,,,positive,0.16,0.4883333333333333
433,,,positive,0.05,0.65
434,,,positive,0.15,0.475
435,,,neutral,0.0,0.0
436,,,positive,0.3333333333333333,0.35555555555555557
437,,,positive,0.08055555555555556,0.6916666666666668
438,,,positive,0.3,0.6833333333333332
439,,,positive,0.2,0.35
440,,,positive,0.125,0.55
441,,,positive,0.06818181818181818,0.2897727272727273
442,,,positive,0.04545454545454545,0.48484848484848486
443,,,positive,0.25,0.25
444,,,neutral,0.0,0.0
445,,,positive,0.4,0.8
446,,,neutral,0.0,0.0
447,,,positive,0.056249999999999994,0.43125
448,,,positive,0.1,0.6
449,,,neutral,0.0,0.0
450,,,neutral,0.0,0.0
451,,,positive,0.175,0.55
452,,,negative,-0.036111111111111115,0.15555555555555556
453,,,positive,0.15555555555555556,0.7000000000000001
454,,,neutral,0.0,0.0
455,,,positive,0.5,0.6
456,,,positive,0.08409090909090909,0.41363636363636364
457,,,positive,0.4125,0.45
458,,,positive,0.171875,0.421875
459,,,neutral,0.0,0.0
460,,,negative,-0.1,0.2
461,,,positive,0.2006060606060606,0.4242424242424243
462,,,positive,0.55,0.5
463,,,neutral,0.0,0.0
464,,,positive,0.3888888888888889,0.5333333333333333
465,,,negative,-0.025,0.275
466,,,positive,0.20000000000000004,0.4000000000000001
467,,,positive,0.1,0.2
468,,,neutral,0.0,0.0
469,,,neutral,0.0,0.0
470,,,positive,0.35,0.55
471,,,positive,0.2142857142857143,0.5845238095238094
472,,,negative,-0.033333333333333326,0.4333333333333333
473,,,positive,0.35,0.55
474,,,positive,0.25,0.75
475,,,positive,1.0,0.75
476,,,neutral,0.0,0.0
477,,,neutral,0.0,0.5
478,,,positive,0.2916666666666667,0.20000000000000004
479,,,positive,0.3666666666666667,0.6944444444444443
480,,,positive,0.35,0.5
481,,,positive,0.6071428571428571,0.8214285714285714
482,,,positive,0.20833333333333334,0.4708333333333333
483,,,neutral,0.0,0.3666666666666667
484,,,positive,0.16666666666666666,0.16666666666666666
485,,,positive,0.3666666666666667,0.7000000000000001
486,,,positive,0.21428571428571427,0.5
487,,,positive,0.3125,0.25
488,,,positive,0.06818181818181818,0.25
489,,,negative,-0.11666666666666667,0.28750000000000003
490,,,positive,0.5,0.5
491,,,positive,0.7,0.7
492,,,positive,0.25,0.75
493,,,positive,0.20833333333333334,0.43333333333333335
494,,,neutral,0.0,0.0
495,,,positive,0.012121212121212116,0.48484848484848486
496,,,neutral,0.0,0.0
497,,,neutral,0.0,0.0
498,,,neutral,0.0,0.125
499,,,neutral,0.0,0.0
500,,,positive,0.3666666666666667,0.7000000000000001
501,,,positive,0.5,0.5
502,,,positive,0.018181818181818174,0.5272727272727272
503,,,positive,0.21428571428571427,0.6428571428571429
504,,,positive,0.018750000000000003,0.6
505,,,neutral,0.0,1.0
506,,,positive,0.15,0.5020833333333333
507,,,positive,0.11875,0.6
508,,,positive,0.8,0.6
509,,,positive,0.65,0.7
510,,,positive,0.125,0.4166666666666667
511,,,positive,0.29375,0.4291666666666667
512,,,negative,-0.3,0.4
513,,,positive,0.5,0.5
514,,,neutral,0.0,1.0
515,,,positive,0.06166666666666667,0.26833333333333337
516,,,negative,-0.027500000000000004,0.5799999999999998
517,,,positive,0.7,0.7
518,,,neutral,0.0,0.0
519,,,positive,0.25,0.25
520,,,positive,0.11666666666666665,0.18333333333333335
521,,,positive,0.45,0.8500000000000001
522,,,positive,0.3,0.5
523,,,positive,0.06933333333333334,0.6673333333333332
524,,,positive,0.1,0.35
525,,,neutral,0.0,0.0
526,,,positive,0.24545454545454545,0.4515151515151515
527,,,negative,-0.0068181818181818205,0.5886363636363636
528,,,positive,0.08333333333333334,0.5
529,,,positive,0.5666666666666667,0.8833333333333333
530,,,positive,0.16666666666666666,0.5416666666666666
531,,,positive,0.282972582972583,0.5133477633477633
532,,,negative,-0.3875,0.6625
533,,,neutral,0.0,0.0
534,,,positive,0.13333333333333333,0.5666666666666667
535,,,positive,0.05285714285714286,0.22857142857142856
536,,,positive,0.15,0.4444444444444445
537,,,positive,0.13376623376623378,0.5173160173160173
538,,,positive,0.375,0.5
539,,,positive,0.075,0.35
540,,,positive,0.375,0.6666666666666666
541,,,positive,0.25,0.3125
542,,,neutral,0.0,0.0
543,,,positive,0.10909090909090909,0.14488636363636365
544,,,positive,0.05357142857142857,0.16071428571428573
545,,,positive,0.3666666666666667,0.7000000000000001
546,,,positive,0.25,0.45
547,,,positive,1.0,0.3
548,,,positive,0.35,0.55
549,,,negative,-0.044444444444444474,0.3666666666666667
550,,,negative,-0.1,0.33125
551,,,neutral,0.0,0.0
552,,,negative,-0.03333333333333333,0.6333333333333333
553,,,positive,0.45,0.8
554,,,positive,0.15,0.37222222222222223
555,,,positive,0.175,0.175
556,,,positive,0.2875,0.5966666666666666
557,,,positive,0.3416666666666667,0.7250000000000001
558,,,positive,0.3872727272727273,0.5509090909090909
559,,,negative,-0.15555555555555559,0.2888888888888889
560,,,positive,0.3666666666666667,0.7000000000000001
561,,,positive,0.25833333333333336,0.48333333333333334
562,,,negative,-0.13181818181818183,0.5772727272727273
563,,,positive,0.125,0.2833333333333333
564,,,positive,0.5833333333333334,0.7000000000000001
565,,,positive,0.375,0.5
566,,,neutral,0.0,0.0
567,,,positive,0.4,0.4375
568,,,positive,0.27999999999999997,0.44000000000000006
569,,,neutral,0.0,0.0
570,,,positive,0.049999999999999996,0.20000000000000004
571,,,positive,0.365,0.675
572,,,positive,0.1,0.18
573,,,neutral,0.0,0.0
574,,,positive,0.195,0.44833333333333336
575,,,positive,0.5,0.5
576,,,neutral,0.0,0.0
577,,,neutral,0.0,0.0
578,,,positive,0.11607142857142858,0.24404761904761907
579,,,negative,-0.03333333333333333,0.5666666666666668
580,,,neutral,0.0,0.0
581,,,positive,0.1,0.6
582,,,positive,0.11220238095238094,0.5080357142857143
583,,,positive,0.3,0.6
584,,,positive,0.7,0.9
585,,,negative,-0.075,0.42083333333333334
586,,,negative,-0.275,0.35
587,,,negative,-0.2111111111111111,0.6888888888888888
588,,,positive,0.4666666666666666,0.63
589,,,neutral,0.0,0.0
590,,,negative,-0.11025641025641027,0.37051282051282053
591,,,neutral,0.0,0.0
592,,,negative,-0.07142857142857142,0.14285714285714285
593,,,negative,-0.17142857142857146,0.5535714285714285
594,,,positive,0.17954545454545456,0.5151515151515151
595,,,neutral,0.0,0.0
596,,,positive,0.26666666666666666,0.2833333333333333
597,,,positive,0.1375,0.625
598,,,neutral,0.0,0.0
599,,,neutral,0.0,0.03333333333333333
600,,,positive,0.13636363636363635,0.5
601,,,positive,0.28571428571428575,0.36904761904761907
602,,,neutral,0.0,0.0
603,,,neutral,0.0,0.0
604,,,positive,0.2,0.2
605,,,neutral,0.0,0.0
606,,,positive,0.5787878787878787,0.6515151515151515
607,,,negative,-0.065,0.52
608,,,positive,0.26666666666666666,0.3333333333333333
609,,,positive,0.05,0.55
610,,,positive,0.65,0.625
611,,,positive,0.1,1.0
612,,,positive,0.07333333333333333,0.2783333333333333
613,,,negative,-0.2,0.3
614,,,neutral,0.0,0.0
615,,,neutral,0.0,0.0
616,,,neutral,0.0,0.0
617,,,positive,0.2,0.5
618,,,positive,0.7,0.6000000000000001
619,,,positive,0.10909090909090909,0.6
620,,,neutral,0.0,0.0625
621,,,negative,-0.125,0.375
622,,,positive,0.5,0.5
623,,,positive,0.08522727272727272,0.75
624,,,positive,0.13636363636363635,0.45454545454545453
625,,,neutral,0.0,0.0625
626,,,negative,-0.1,0.15
627,,,negative,-0.1,0.15
628,,,positive,0.13636363636363635,0.45454545454545453
629,,,neutral,0.0,0.0
630,,,positive,0.175,0.325
631,,,neutral,0.0,0.0
632,,,positive,0.1392857142857143,0.43214285714285716
633,,,negative,-0.1,0.15
634,,,neutral,0.0,0.0
635,,,positive,0.375,0.4625
636,,,neutral,0.0,0.0
637,,,negative,-0.1,0.15
638,,,positive,0.3166666666666667,0.6020408163265306
639,,,positive,0.14444444444444443,0.5777777777777778
640,,,neutral,0.0,0.55
641,,,neutral,0.0,0.0
642,,,positive,0.13333333333333336,0.44166666666666665
643,,,positive,0.4,1.0
644,,,positive,0.4,0.875
645,,,neutral,0.0,0.0
646,,,positive,0.5,0.75
647,,,positive,0.025,0.40625
648,,,positive,0.5408163265306122,0.6908163265306122
649,,,neutral,0.0,0.0
650,,,neutral,0.0,0.0
651,,,neutral,0.0,0.0
652,,,negative,-0.2,0.3
653,,,positive,0.2,0.2
654,,,positive,0.5,0.5
655,,,neutral,0.0,0.9
656,,,negative,-0.2,0.3
657,,,neutral,0.0,0.0
658,,,neutral,0.0,0.3333333333333333
659,,,neutral,0.0,0.0
660,,,positive,0.01319444444444444,0.632638888888889
661,,,positive,0.175,0.47500000000000003
662,,,positive,0.36388888888888893,0.8472222222222223
663,,,positive,0.3626666666666667,0.45566666666666666
664,,,negative,-0.1,0.15
665,,,positive,0.04545454545454545,0.3181818181818182
666,,,neutral,0.0,0.0
667,,,positive,1.0,1.0
668,,,neutral,0.0,0.0
669,,,negative,-0.05454545454545454,0.3181818181818182
670,,,negative,-0.15,0.56875
671,,,negative,-0.1,0.1
672,,,neutral,0.0,0.125
673,,,neutral,0.0,0.0
674,,,neutral,0.0,0.0
675,,,positive,0.1,0.15000000000000002
676,,,neutral,0.0,0.0
677,,,positive,0.5,0.5666666666666668
678,,,neutral,0.0,0.0
679,,,positive,0.16666666666666666,0.25
680,,,positive,0.11142857142857143,0.7689285714285714
681,,,neutral,0.0,0.0
682,,,neutral,0.0,0.0625
683,,,positive,0.1,0.1
684,,,positive,0.2702380952380952,0.7107142857142857
685,,,positive,0.012,0.22799999999999998
686,,,neutral,0.0,0.0
687,,,positive,0.3229166666666667,0.6142857142857143
688,,,neutral,0.0,0.0
689,,,positive,0.6,0.9
690,,,neutral,0.0,0.0
691,,,neutral,0.0,0.0
692,,,positive,0.19166666666666668,0.5833333333333333
693,,,negative,-0.19444444444444445,0.6166666666666667
694,,,positive,0.3125,0.5
695,,,positive,0.18690476190476193,0.5571428571428572
696,,,neutral,0.0,0.0
697,,,neutral,0.0,0.0
698,,,positive,0.30000000000000004,0.55
699,,,neutral,0.0,0.0
700,,,neutral,0.0,0.0
701,,,neutral,0.0,0.0
702,,,positive,0.06818181818181818,0.22727272727272727
703,,,neutral,0.0,0.0
704,,,positive,0.18489583333333334,0.4770833333333333
705,,,negative,-0.12121212121212122,0.8181818181818182
706,,,positive,0.6,0.8
707,,,neutral,0.0,0.0
708,,,positive,0.04545454545454545,0.18484848484848485
709,,,negative,-0.02777777777777779,0.34444444444444444
710,,,neutral,0.0,0.0
711,,,positive,0.18333333333333335,0.75
712,,,positive,0.2,0.2
713,,,positive,0.08,0.26999999999999996
714,,,neutral,0.0,1.0
715,,,neutral,0.0,0.0
716,,,neutral,0.0,0.0
717,,,negative,-0.2,0.3
718,,,neutral,0.0,0.5
719,,,positive,0.28409090909090906,0.6136363636363636
720,,,positive,0.1875,0.4375
721,,,positive,0.06666666666666665,0.6333333333333333
722,,,neutral,0.0,0.0
723,,,positive,0.35,0.35
724,,,neutral,0.0,0.0
725,,,negative,-0.2,0.3
726,,,positive,0.18333333333333335,0.75
727,,,negative,-0.051851851851851864,0.13796296296296298
728,,,positive,0.18333333333333335,0.8500000000000001
729,,,neutral,0.0,0.0
730,,,positive,0.165,0.33499999999999996
